Temperature (C),"	Year", Month, Country, ISO3, ISO2
16.080929,1990,1,MEX,,
17.00906,1990,2,MEX,,
19.33993,1990,3,MEX,,
22.284267,1990,4,MEX,,
24.502146,1990,5,MEX,,
26.756973,1990,6,MEX,,
25.102503,1990,7,MEX,,
25.098093,1990,8,MEX,,
24.193089,1990,9,MEX,,
21.868773,1990,10,MEX,,
19.127771,1990,11,MEX,,
16.25149,1990,12,MEX,,
15.933731,1991,1,MEX,,
17.269487,1991,2,MEX,,
19.538736,1991,3,MEX,,
21.941479,1991,4,MEX,,
24.052324,1991,5,MEX,,
25.24839,1991,6,MEX,,
25.188677,1991,7,MEX,,
25.34708,1991,8,MEX,,
23.564482,1991,9,MEX,,
21.868654,1991,10,MEX,,
17.597973,1991,11,MEX,,
15.820738,1991,12,MEX,,
14.973183,1992,1,MEX,,
16.39261,1992,2,MEX,,
19.270203,1992,3,MEX,,
21.402742,1992,4,MEX,,
23.024076,1992,5,MEX,,
25.385937,1992,6,MEX,,
25.56162,1992,7,MEX,,
25.200596,1992,8,MEX,,
24.706675,1992,9,MEX,,
22.09094,1992,10,MEX,,
17.442074,1992,11,MEX,,
16.564363,1992,12,MEX,,
16.209179,1993,1,MEX,,
17.670918,1993,2,MEX,,
19.066269,1993,3,MEX,,
21.799643,1993,4,MEX,,
23.592373,1993,5,MEX,,
25.277473,1993,6,MEX,,
25.44875,1993,7,MEX,,
25.61621,1993,8,MEX,,
24.39118,1993,9,MEX,,
21.832539,1993,10,MEX,,
17.685698,1993,11,MEX,,
16.551014,1993,12,MEX,,
16.261501,1994,1,MEX,,
17.457449,1994,2,MEX,,
19.629559,1994,3,MEX,,
22.031345,1994,4,MEX,,
24.070919,1994,5,MEX,,
26.159714,1994,6,MEX,,
26.529678,1994,7,MEX,,
25.79273,1994,8,MEX,,
24.676043,1994,9,MEX,,
22.364124,1994,10,MEX,,
19.587484,1994,11,MEX,,
17.194994,1994,12,MEX,,
16.379738,1995,1,MEX,,
18.74124,1995,2,MEX,,
19.538141,1995,3,MEX,,
21.70596,1995,4,MEX,,
24.21776,1995,5,MEX,,
25.612158,1995,6,MEX,,
26.241837,1995,7,MEX,,
25.951727,1995,8,MEX,,
24.657925,1995,9,MEX,,
22.202742,1995,10,MEX,,
19.412395,1995,11,MEX,,
16.590466,1995,12,MEX,,
16.048153,1996,1,MEX,,
18.208939,1996,2,MEX,,
18.683313,1996,3,MEX,,
21.880215,1996,4,MEX,,
25.330631,1996,5,MEX,,
25.95459,1996,6,MEX,,
26.249939,1996,7,MEX,,
25.440643,1996,8,MEX,,
24.80286,1996,9,MEX,,
22.102621,1996,10,MEX,,
18.971275,1996,11,MEX,,
16.251966,1996,12,MEX,,
15.447317,1997,1,MEX,,
17.036234,1997,2,MEX,,
19.985577,1997,3,MEX,,
20.551014,1997,4,MEX,,
24.312157,1997,5,MEX,,
26.051132,1997,6,MEX,,
26.146723,1997,7,MEX,,
26.10763,1997,8,MEX,,
25.499523,1997,9,MEX,,
21.978188,1997,10,MEX,,
18.938023,1997,11,MEX,,
15.851848,1997,12,MEX,,
16.610607,1998,1,MEX,,
16.968533,1998,2,MEX,,
19.133732,1998,3,MEX,,
21.833015,1998,4,MEX,,
24.808224,1998,5,MEX,,
27.140049,1998,6,MEX,,
26.485935,1998,7,MEX,,
26.21204,1998,8,MEX,,
24.88963,1998,9,MEX,,
22.410011,1998,10,MEX,,
19.351849,1998,11,MEX,,
16.386412,1998,12,MEX,,
16.306911,1999,1,MEX,,
18.087963,1999,2,MEX,,
19.413944,1999,3,MEX,,
22.234207,1999,4,MEX,,
24.23373,1999,5,MEX,,
25.3882,1999,6,MEX,,
24.999285,1999,7,MEX,,
25.647198,1999,8,MEX,,
24.32217,1999,9,MEX,,
21.866747,1999,10,MEX,,
18.702503,1999,11,MEX,,
15.223242,1999,12,MEX,,
16.404053,2000,1,MEX,,
18.466389,2000,2,MEX,,
19.761143,2000,3,MEX,,
22.523123,2000,4,MEX,,
25.070919,2000,5,MEX,,
25.361502,2000,6,MEX,,
26.26019,2000,7,MEX,,
25.333134,2000,8,MEX,,
25.135399,2000,9,MEX,,
21.499643,2000,10,MEX,,
17.57211,2000,11,MEX,,
15.591418,2000,12,MEX,,
15.663648,2001,1,MEX,,
17.582241,2001,2,MEX,,
18.447676,2001,3,MEX,,
21.864124,2001,4,MEX,,
24.115852,2001,5,MEX,,
25.760906,2001,6,MEX,,
26.008938,2001,7,MEX,,
25.866388,2001,8,MEX,,
24.617998,2001,9,MEX,,
22.16615,2001,10,MEX,,
19.008581,2001,11,MEX,,
15.835876,2001,12,MEX,,
16.225506,2002,1,MEX,,
16.623718,2002,2,MEX,,
19.377235,2002,3,MEX,,
23.159595,2002,4,MEX,,
24.755304,2002,5,MEX,,
25.93397,2002,6,MEX,,
25.448391,2002,7,MEX,,
25.876638,2002,8,MEX,,
24.61025,2002,9,MEX,,
22.295233,2002,10,MEX,,
18.481646,2002,11,MEX,,
15.98689,2002,12,MEX,,
16.86031,2003,1,MEX,,
17.385578,2003,2,MEX,,
19.357569,2003,3,MEX,,
22.140406,2003,4,MEX,,
24.995829,2003,5,MEX,,
25.7323,2003,6,MEX,,
25.747793,2003,7,MEX,,
25.606197,2003,8,MEX,,
24.562098,2003,9,MEX,,
22.409655,2003,10,MEX,,
19.384504,2003,11,MEX,,
15.876877,2003,12,MEX,,
15.778308,2004,1,MEX,,
16.486055,2004,2,MEX,,
20.485102,2004,3,MEX,,
21.80453,2004,4,MEX,,
24.317402,2004,5,MEX,,
25.815136,2004,6,MEX,,
26.051489,2004,7,MEX,,
25.668056,2004,8,MEX,,
24.209179,2004,9,MEX,,
22.757687,2004,10,MEX,,
18.454708,2004,11,MEX,,
15.995112,2004,12,MEX,,
17.11192,2005,1,MEX,,
17.311085,2005,2,MEX,,
19.214064,2005,3,MEX,,
22.590466,2005,4,MEX,,
24.14136,2005,5,MEX,,
25.926579,2005,6,MEX,,
26.291061,2005,7,MEX,,
25.484625,2005,8,MEX,,
25.48963,2005,9,MEX,,
22.22205,2005,10,MEX,,
19.238857,2005,11,MEX,,
16.484386,2005,12,MEX,,
16.881287,2006,1,MEX,,
17.980692,2006,2,MEX,,
20.073063,2006,3,MEX,,
23.551489,2006,4,MEX,,
24.749105,2006,5,MEX,,
26.32193,2006,6,MEX,,
26.071396,2006,7,MEX,,
25.737904,2006,8,MEX,,
24.423717,2006,9,MEX,,
22.514183,2006,10,MEX,,
19.32491,2006,11,MEX,,
15.794993,2006,12,MEX,,
14.908463,2007,1,MEX,,
17.297855,2007,2,MEX,,
20.137306,2007,3,MEX,,
21.82205,2007,4,MEX,,
23.898571,2007,5,MEX,,
25.666508,2007,6,MEX,,
25.565556,2007,7,MEX,,
25.977713,2007,8,MEX,,
24.755661,2007,9,MEX,,
22.539808,2007,10,MEX,,
19.097258,2007,11,MEX,,
16.655186,2007,12,MEX,,
15.62348,2008,1,MEX,,
17.942907,2008,2,MEX,,
19.179976,2008,3,MEX,,
22.620619,2008,4,MEX,,
24.449703,2008,5,MEX,,
26.21192,2008,6,MEX,,
25.235043,2008,7,MEX,,
25.496426,2008,8,MEX,,
23.936234,2008,9,MEX,,
22.170322,2008,10,MEX,,
18.65304,2008,11,MEX,,
16.738022,2008,12,MEX,,
17.045053,2009,1,MEX,,
18.30143,2009,2,MEX,,
19.991299,2009,3,MEX,,
22.365673,2009,4,MEX,,
24.869965,2009,5,MEX,,
26.2205,2009,6,MEX,,
27.006556,2009,7,MEX,,
26.554111,2009,8,MEX,,
24.892849,2009,9,MEX,,
22.492968,2009,10,MEX,,
18.811323,2009,11,MEX,,
15.826579,2009,12,MEX,,
15.221777,2010,1,MEX,,
15.645334,2010,2,MEX,,
18.618557,2010,3,MEX,,
21.561556,2010,4,MEX,,
24.401445,2010,5,MEX,,
26.296335,2010,6,MEX,,
25.330444,2010,7,MEX,,
26.201443,2010,8,MEX,,
24.796778,2010,9,MEX,,
21.666445,2010,10,MEX,,
18.099,2010,11,MEX,,
15.833667,2010,12,MEX,,
15.572111,2011,1,MEX,,
16.287334,2011,2,MEX,,
20.614779,2011,3,MEX,,
23.625,2011,4,MEX,,
25.085222,2011,5,MEX,,
27.03389,2011,6,MEX,,
26.244665,2011,7,MEX,,
26.722778,2011,8,MEX,,
25.378,2011,9,MEX,,
22.34689,2011,10,MEX,,
18.489223,2011,11,MEX,,
15.263222,2011,12,MEX,,
16.47211,2012,1,MEX,,
17.214443,2012,2,MEX,,
19.695667,2012,3,MEX,,
22.576445,2012,4,MEX,,
24.931223,2012,5,MEX,,
26.443111,2012,6,MEX,,
25.918112,2012,7,MEX,,
26.431446,2012,8,MEX,,
24.98911,2012,9,MEX,,
23.001554,2012,10,MEX,,
19.177113,2012,11,MEX,,
16.69389,2012,12,MEX,,
